1_mean,0_mean,1_std,0_std
4.523764333333338,3.684193090909091,0.47696121064037633,0.6521997611224276
1.3548684444444485,1.4048854545454545,0.10336011581371803,0.11971807248831694
2.036358222222222,1.7745781818181823,0.24272954645802391,0.17319207239461187
2.853070962962962,2.4287126666666716,0.3605215838550332,0.32238597494294896
1.3340893703703702,1.4518245151515146,0.11921648688517078,0.12470200392363484
1.8690292962962969,1.7084553333333319,0.09749054132257644,0.13627161369087532
4.374369629629632,3.646354545454544,0.5774303396513404,0.4845901857568087
1.9823635925925867,1.7820369090909085,0.15642310154446545,0.15828349588522594
1.3273922962962965,1.45509793939394,0.13035874815258347,0.12862029066401784
1.8884622592592668,1.6277633636363718,0.2434755686932624,0.20498356990771682
